action,object1,object2,effect
pierce,"['Tablefork_19', 'line', 'Fixed', 'Plastic']","['Chopstick_2', 'point', 'Fixed', 'Wood']",None
pierce,"['Tablefork_19', 'line', 'Fixed', 'Plastic']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['Chopstick_5', 'point', 'Fixed', 'Wood']",None
pierce,"['Bottle_5', 'flat', 'Fixed', 'Plastic']","['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['Bottle_8', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['rod', 'flat', 'Fixed', 'Wood']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Chopstick_7', 'point', 'Fixed', 'Wood']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Spoon_1', 'line', 'Fixed', 'Metal']","['Fyingpan_4', 'flat', 'Fixed', 'Metal']",None
pierce,"['Pen_1', 'point', 'Fixed', 'Metal']","['Cuboid', 'flat', 'Fixed', 'Foam']",pierced
pierce,"['Meshspatula_1', 'line', 'Fixed', 'Plastic']","['Tablefork_18', 'point', 'Fixed', 'Metal']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Chopstick_1', 'point', 'Fixed', 'Wood']",None
pierce,"['Bowl_1', 'flat', 'Fixed', 'Plastic']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['Chopstick_2', 'point', 'Fixed', 'Wood']",None
pierce,"['Tablefork_14', 'point', 'Fixed', 'Metal']","['Cuboid_2', 'flat', 'Fixed', 'Foam']",pierced
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Plastic']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Chopstick_7', 'point', 'Fixed', 'Wood']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['Chopstick_7', 'point', 'Fixed', 'Wood']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['rod', 'flat', 'Fixed', 'Wood']",None
pierce,"['Pen_1', 'flat', 'Fixed', 'Plastic']","['Spatula_1', 'flat', 'Fixed', 'Wood']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['Breadknife_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Pliers', 'point', 'Revolute', 'Metal']","['ChineseKnife_2', 'line', 'Fixed', 'Metal']",None
pierce,"['Prism', 'flat', 'Fixed', 'Foam']","['Spatula_1', 'line', 'Fixed', 'Wood']",None
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['Cuboid', 'flat', 'Fixed', 'Foam']",None
pierce,"['Tablefork_19', 'point', 'Fixed', 'Plastic']","['Bottle_5', 'flat', 'Fixed', 'Plastic']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Spatula_1', 'line', 'Fixed', 'Wood']",None
pierce,"['Pen_1', 'point', 'Fixed', 'Metal']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Pliers', 'flat', 'Revolute', 'Metal']","['Tablefork_19', 'line', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_13', 'line', 'Fixed', 'Metal']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Bowl_1', 'flat', 'Fixed', 'Plastic']","['Bottle_8', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Meshspatula_1', 'line', 'Fixed', 'Plastic']","['Tablefork_13', 'line', 'Fixed', 'Metal']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Wood']","['Breadknife_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Plastic']","['Cuboid_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['Fyingpan_4', 'flat', 'Fixed', 'Metal']",None
pierce,"['Cube_2', 'flat', 'Fixed', 'Foam']","['Bottle_8', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Chopstick_5', 'point', 'Fixed', 'Wood']","['Chopstick_1', 'point', 'Fixed', 'Wood']",None
pierce,"['ChineseKnife_2', 'flat', 'Fixed', 'Wood']","['Fyingpan_4', 'flat', 'Fixed', 'Wood']",None
pierce,"['Plate_1', 'flat', 'Fixed', 'Plastic']","['Fyingpan_3', 'flat', 'Fixed', 'Metal']",None
pierce,"['coin', 'line', 'Fixed', 'Metal']","['Tablefork_14', 'line', 'Fixed', 'Wood']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Bottle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Prism', 'flat', 'Fixed', 'Foam']","['Tablefork_13', 'point', 'Fixed', 'Metal']",None
pierce,"['Bottle_5', 'flat', 'Fixed', 'Plastic']","['Pen_1', 'point', 'Fixed', 'Metal']",None
pierce,"['Meshspatula_1', 'line', 'Fixed', 'Plastic']","['Chopstick_7', 'point', 'Fixed', 'Wood']",None
pierce,"['Chopstick_2', 'point', 'Fixed', 'Wood']","['Bottle_8', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Plastic']","['Fyingpan_3', 'flat', 'Fixed', 'Metal']",None
pierce,"['Plate_1', 'flat', 'Fixed', 'Plastic']","['ChineseKnife_2', 'flat', 'Fixed', 'Wood']",None
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Plastic']","['Meshspatula_1', 'flat', 'Fixed', 'Wood']",None
pierce,"['Pliers', 'flat', 'Revolute', 'Metal']","['coin', 'line', 'Fixed', 'Metal']",None
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['Bottle_8', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Metal']","['Spatula_1', 'flat', 'Fixed', 'Wood']",None
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Tablefork_18', 'line', 'Fixed', 'Wood']","['metal_bowl_small', 'flat', 'Fixed', 'Metal']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Cuboid_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['Tablefork_13', 'point', 'Fixed', 'Metal']","['Cube_2', 'flat', 'Fixed', 'Foam']",pierced
pierce,"['Cube', 'flat', 'Fixed ', 'Foam']","['scissors', 'point', 'Revolute', 'Metal']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Tablefork_13', 'point', 'Fixed', 'Metal']",None
pierce,"['Breadknife_1', 'line', 'Fixed', 'Metal']","['Bottle_5', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Bottle_5', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Plastic']","['Breadknife_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Cube', 'flat', 'Fixed ', 'Foam']","['Pliers', 'flat', 'Revolute', 'Metal']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['scissors', 'point', 'Revolute', 'Metal']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Fyingpan_3', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_19', 'line', 'Fixed', 'Plastic']","['Tablefork_18', 'point', 'Fixed', 'Metal']",None
pierce,"['ChineseKnife_2', 'flat', 'Fixed', 'Wood']","['metal_bowl_small', 'flat', 'Fixed', 'Metal']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['Pen_1', 'point', 'Fixed', 'Metal']",None
pierce,"['Prism', 'flat', 'Fixed', 'Foam']","['Bottle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['coin', 'line', 'Fixed', 'Metal']","['Cuboid', 'flat', 'Fixed', 'Foam']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['Fyingpan_4', 'flat', 'Fixed', 'Metal']",None
pierce,"['Tablefork_14', 'point', 'Fixed', 'Metal']","['Fyingpan_3', 'flat', 'Fixed', 'Metal']",None
pierce,"['Spoon_1', 'line', 'Fixed', 'Metal']","['Bottle_8', 'flat', 'Fixed', 'Plastic']",None
pierce,"['metal_bowl_small', 'flat', 'Fixed', 'Metal']","['Spoon_4', 'line', 'Fixed', 'Metal']",None
pierce,"['Spatula_1', 'line', 'Fixed', 'Wood']","['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Bowl_1', 'flat', 'Fixed', 'Plastic']","['Fyingpan_4', 'flat', 'Fixed', 'Wood']",None
pierce,"['Chopstick_2', 'point', 'Fixed', 'Wood']","['Tablefork_13', 'line', 'Fixed', 'Metal']",None
pierce,"['Cuboid_2', 'flat', 'Fixed', 'Foam']","['Tablefork_18', 'point', 'Fixed', 'Metal']",None
pierce,"['ChineseKnife_2', 'flat', 'Fixed', 'Wood']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Tablefork_13', 'point', 'Fixed', 'Metal']","['Fyingpan_4', 'flat', 'Fixed', 'Metal']",None
pierce,"['scissors', 'point', 'Revolute', 'Metal']","['scissors', 'flat', 'Revolute', 'Metal']",None
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Pliers', 'flat', 'Revolute', 'Metal']","['Tablefork_13', 'line', 'Fixed', 'Metal']",None
pierce,"['Prism', 'flat', 'Fixed', 'Foam']","['Cube_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['metal_bowl_small', 'flat', 'Fixed', 'Metal']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Cuboid_2', 'flat', 'Fixed', 'Foam']","['Bottle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Metal']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Chopstick_1', 'point', 'Fixed', 'Wood']","['Fyingpan_4', 'flat', 'Fixed', 'Metal']",None
pierce,"['Bottle_5', 'flat', 'Fixed', 'Plastic']","['coin', 'line', 'Fixed', 'Metal']",None
pierce,"['Bottle_5', 'flat', 'Fixed', 'Plastic']","['Chopstick_2', 'point', 'Fixed', 'Wood']",None
pierce,"['ChineseKnife_2', 'line', 'Fixed', 'Metal']","['Bottle_5', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Metal']","['Tablefork_19', 'point', 'Fixed', 'Plastic']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['metal_bowl_small', 'flat', 'Fixed', 'Metal']",None
pierce,"['Chopstick_1', 'point', 'Fixed', 'Wood']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Cuboid_2', 'flat', 'Fixed', 'Foam']","['Spoon_4', 'line', 'Fixed', 'Metal']",None
pierce,"['Tablefork_13', 'line', 'Fixed', 'Metal']","['Cuboid_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['Tablefork_13', 'line', 'Fixed', 'Metal']","['ChineseKnife_2', 'line', 'Fixed', 'Metal']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['Cuboid', 'flat', 'Fixed', 'Foam']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Metal']","['Meshspatula_1', 'flat', 'Fixed', 'Wood']",None
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['Tablefork_14', 'point', 'Fixed', 'Metal']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['Tablefork_19', 'point', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_14', 'line', 'Fixed', 'Wood']","['Pliers', 'flat', 'Revolute', 'Metal']",None
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['scissors', 'flat', 'Revolute', 'Metal']",None
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Metal']","['Tablefork_19', 'point', 'Fixed', 'Plastic']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Wood']","['Spoon_4', 'line', 'Fixed', 'Metal']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['coin', 'line', 'Fixed', 'Metal']",None
pierce,"['Chopstick_5', 'point', 'Fixed', 'Wood']","['Meshspatula_1', 'flat', 'Fixed', 'Wood']",None
pierce,"['Spatula_1', 'line', 'Fixed', 'Wood']","['coin', 'line', 'Fixed', 'Metal']",None
pierce,"['Fyingpan_3', 'flat', 'Fixed', 'Metal']","['Pliers', 'flat', 'Revolute', 'Metal']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Wood']","['Tablefork_18', 'line', 'Fixed', 'Wood']",None
pierce,"['Spoon_1', 'line', 'Fixed', 'Metal']","['Cube_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Tablefork_19', 'line', 'Fixed', 'Plastic']",None
pierce,"['ChineseKnife_2', 'line', 'Fixed', 'Metal']","['Breadknife_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Meshspatula_1', 'line', 'Fixed', 'Plastic']","['ChineseKnife_2', 'line', 'Fixed', 'Metal']",None
pierce,"['rod', 'flat', 'Fixed', 'Wood']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Prism', 'flat', 'Fixed', 'Foam']","['metal_bowl_small', 'flat', 'Fixed', 'Metal']",None
pierce,"['Prism', 'flat', 'Fixed', 'Foam']","['Plate_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['ChineseKnife_2', 'line', 'Fixed', 'Metal']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Wood']","['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Chopstick_5', 'point', 'Fixed', 'Wood']","['Bottle_8', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Meshspatula_1', 'flat', 'Fixed', 'Wood']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Plate_1', 'flat', 'Fixed', 'Plastic']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['rod', 'flat', 'Fixed', 'Wood']",None
pierce,"['Bottle_8', 'flat', 'Fixed', 'Plastic']","['Pen_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Spoon_1', 'line', 'Fixed', 'Metal']","['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Kitchenknife_5', 'flat', 'Fixed', 'Wood']","['Tablefork_14', 'point', 'Fixed', 'Metal']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['rod', 'flat', 'Fixed', 'Wood']",None
pierce,"['Tablefork_14', 'point', 'Fixed', 'Metal']","['Pliers', 'flat', 'Revolute', 'Metal']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['Tablefork_13', 'point', 'Fixed', 'Metal']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Wood']","['Chopstick_1', 'point', 'Fixed', 'Wood']",None
pierce,"['rod', 'flat', 'Fixed', 'Wood']","['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Plate_1', 'flat', 'Fixed', 'Plastic']","['Bottle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Breadknife_1', 'flat', 'Fixed', 'Plastic']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Breadknife_1', 'line', 'Fixed', 'Metal']","['Kitchenknife_5', 'flat', 'Fixed', 'Wood']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Cuboid', 'flat', 'Fixed', 'Foam']",None
pierce,"['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Plate_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Spoon_1', 'line', 'Fixed', 'Metal']","['Pliers', 'flat', 'Revolute', 'Metal']",None
pierce,"['rod', 'flat', 'Fixed', 'Wood']","['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Tablefork_19', 'point', 'Fixed', 'Plastic']","['scissors', 'point', 'Revolute', 'Metal']",None
pierce,"['Breadknife_1', 'line', 'Fixed', 'Metal']","['Cube_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['Spatula_1', 'flat', 'Fixed', 'Wood']","['Pen_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Bottle_8', 'flat', 'Fixed', 'Plastic']","['Prism', 'flat', 'Fixed', 'Foam']",None
pierce,"['Chopstick_7', 'point', 'Fixed', 'Wood']","['Pliers', 'flat', 'Revolute', 'Metal']",None
pierce,"['coin', 'line', 'Fixed', 'Metal']","['Bottle_5', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Pen_1', 'flat', 'Fixed', 'Plastic']","['Meshspatula_1', 'line', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_18', 'point', 'Fixed', 'Metal']","['Tablefork_14', 'point', 'Fixed', 'Metal']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Wood']","['scissors', 'point', 'Revolute', 'Metal']",None
pierce,"['Tablefork_18', 'line', 'Fixed', 'Wood']","['Fyingpan_4', 'flat', 'Fixed', 'Wood']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['scissors', 'point', 'Revolute', 'Metal']",None
pierce,"['Plate_1', 'flat', 'Fixed', 'Plastic']","['Cube_2', 'flat', 'Fixed', 'Foam']",None
pierce,"['Bottle_8', 'flat', 'Fixed', 'Glass/Ceramic']","['Chopstick_7', 'point', 'Fixed', 'Wood']",None
pierce,"['Kitchenknife_5', 'flat', 'Fixed', 'Wood']","['Tablefork_13', 'point', 'Fixed', 'Metal']",None
pierce,"['Tablefork_19', 'point', 'Fixed', 'Plastic']","['Cube', 'flat', 'Fixed ', 'Foam']",pierced
pierce,"['Tablefork_14', 'point', 'Fixed', 'Metal']","['Pen_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Breadknife_1', 'line', 'Fixed', 'Metal']","['Fyingpan_3', 'flat', 'Fixed', 'Metal']",None
pierce,"['Pen_1', 'point', 'Fixed', 'Metal']","['Spoon_4', 'line', 'Fixed', 'Metal']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['Cuboid', 'flat', 'Fixed', 'Foam']",pierced
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['coin', 'line', 'Fixed', 'Metal']",None
pierce,"['Tablefork_14', 'line', 'Fixed', 'Wood']","['Tablefork_13', 'line', 'Fixed', 'Metal']",None
pierce,"['Spoon_1', 'line', 'Fixed', 'Metal']","['Spatula_1', 'line', 'Fixed', 'Wood']",None
pierce,"['scissors', 'point', 'Revolute', 'Metal']","['Fyingpan_3', 'flat', 'Fixed', 'Metal']",None
pierce,"['Tablefork_13', 'point', 'Fixed', 'Metal']","['Pliers', 'point', 'Revolute', 'Metal']",None
pierce,"['Tablefork_13', 'point', 'Fixed', 'Metal']","['Pen_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Cuboid_2', 'flat', 'Fixed', 'Foam']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Cuboid', 'flat', 'Fixed', 'Foam']",None
pierce,"['Pen_1', 'point', 'Fixed', 'Metal']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Wood']","['Bottle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['Pliers', 'point', 'Revolute', 'Metal']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Breadknife_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Tablefork_13', 'line', 'Fixed', 'Metal']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['metal_bowl_small', 'flat', 'Fixed', 'Metal']",None
pierce,"['Bowl_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Mug_3', 'flat', 'Fixed', 'Wood']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['Chopstick_7', 'point', 'Fixed', 'Wood']",None
pierce,"['Pliers', 'point', 'Revolute', 'Metal']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['metal_bowl_small', 'flat', 'Fixed', 'Metal']","['Tablefork_13', 'point', 'Fixed', 'Metal']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Fyingpan_4', 'flat', 'Fixed', 'Wood']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Kitchenknife_5', 'point', 'Fixed', 'Metal']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Bowl_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Bottle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['scissors', 'point', 'Revolute', 'Metal']","['Prism', 'flat', 'Fixed', 'Foam']",pierced
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['Breadknife_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Tablefork_13', 'point', 'Fixed', 'Metal']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['coin', 'line', 'Fixed', 'Metal']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['Fyingpan_3', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_14', 'line', 'Fixed', 'Wood']","['Breadknife_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Pliers', 'flat', 'Revolute', 'Metal']","['scissors', 'flat', 'Revolute', 'Metal']",None
pierce,"['Cube', 'flat', 'Fixed ', 'Foam']","['Tablefork_18', 'line', 'Fixed', 'Wood']",None
pierce,"['rod', 'flat', 'Fixed', 'Wood']","['Spatula_1', 'line', 'Fixed', 'Wood']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Spoon_4', 'line', 'Fixed', 'Metal']",None
pierce,"['Spatula_1', 'flat', 'Fixed', 'Wood']","['scissors', 'point', 'Revolute', 'Metal']",None
pierce,"['Spoon_4', 'line', 'Fixed', 'Metal']","['Pliers', 'flat', 'Revolute', 'Metal']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['Bowl_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_14', 'line', 'Fixed', 'Wood']","['ChineseKnife_2', 'flat', 'Fixed', 'Wood']",None
pierce,"['Cube_2', 'flat', 'Fixed', 'Foam']","['Pliers', 'point', 'Revolute', 'Metal']",None
pierce,"['Cube_2', 'flat', 'Fixed', 'Foam']","['Kitchenknife_5', 'point', 'Fixed', 'Metal']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Bottle_8', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Breadknife_1', 'flat', 'Fixed', 'Plastic']","['Tablefork_18', 'point', 'Fixed', 'Metal']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Wood']","['Fyingpan_3', 'flat', 'Fixed', 'Plastic']",None
pierce,"['rod', 'flat', 'Fixed', 'Wood']","['Spoon_1', 'line', 'Fixed', 'Metal']",None
pierce,"['Pliers', 'flat', 'Revolute', 'Metal']","['Tablefork_14', 'point', 'Fixed', 'Metal']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Bottle_8', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Wood']","['Tablefork_14', 'point', 'Fixed', 'Metal']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['Plate_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Bottle_5', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Bottle_1', 'flat', 'Fixed', 'Plastic']","['Bottle_5', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Fyingpan_3', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_14', 'point', 'Fixed', 'Metal']","['Tablefork_19', 'line', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_18', 'line', 'Fixed', 'Wood']","['Plate_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Cuboid', 'flat', 'Fixed', 'Foam']","['Fyingpan_3', 'flat', 'Fixed', 'Metal']",None
pierce,"['Plate_1', 'flat', 'Fixed', 'Plastic']","['Tablefork_13', 'point', 'Fixed', 'Metal']",None
pierce,"['Fyingpan_4', 'flat', 'Fixed', 'Wood']","['Tablefork_14', 'point', 'Fixed', 'Metal']",None
pierce,"['Ladle_1', 'flat', 'Fixed', 'Plastic']","['Bottle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Kitchenknife_5', 'point', 'Fixed', 'Metal']",None
pierce,"['Kitchenknife_5', 'point', 'Fixed', 'Metal']","['Tablefork_13', 'line', 'Fixed', 'Metal']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['Ladle_1', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Mug_3', 'flat', 'Fixed', 'Glass/Ceramic']","['Meshspatula_1', 'line', 'Fixed', 'Plastic']",None
pierce,"['Mug_1', 'flat', 'Fixed', 'Glass/Ceramic']","['Bottle_8', 'flat', 'Fixed', 'Plastic']",None
pierce,"['Tablefork_13', 'line', 'Fixed', 'Metal']","['Mug_3', 'flat', 'Fixed', 'Wood']",None
pierce,"['scissors', 'flat', 'Revolute', 'Metal']","['Chopstick_5', 'point', 'Fixed', 'Wood']",None
